"[199.9, -7.2, -6.8, -179.48, -1.22, 1.13]"
"[214.0, 1.6, -10.6, -178.85, -2.31, 1.04]"
"[216.2, -16.2, -6.5, -179.36, -1.92, -0.62]"
"[245.5, -57.3, -9.4, -179.88, -1.22, 0.0]"
"[211.7, -58.2, -7.8, 179.95, -1.75, 0.0]"
"[198.0, -34.4, -8.6, -179.96, -0.97, 1.49]"
"[224.3, 12.5, -8.3, -179.39, -2.11, 1.21]"
"[199.9, -5.3, -12.3, -179.3, -2.36, -1.42]"
"[245.1, -28.4, -5.6, -179.68, -1.99, -0.79]"
"[217.9, -50.1, -9.4, -179.85, -1.84, -0.96]"
"[262.0, -29.1, -8.2, -179.57, -3.22, 0.07]"
"[202.4, -40.4, -8.5, -179.77, -2.54, -0.35]"
"[235.6, 3.6, -6.2, -179.96, -0.44, 0.79]"
"[232.5, -6.8, -10.8, -179.78, -1.12, -0.96]"
"[236.0, -54.4, -5.5, -179.95, -2.46, -0.96]"
"[256.3, -41.2, -5.9, 179.99, -1.05, 0.26]"
"[182.9, -28.8, -10.1, -179.95, -0.79, 1.14]"
"[180.9, -24.9, -10.0, 179.93, -0.1, -0.17]"
"[183.3, -24.4, -11.7, -179.64, -1.99, -0.18]"
"[216.0, -56.8, -5.5, -179.91, -2.81, -1.67]"
"[217.0, -68.8, -6.1, 179.9, -0.61, -0.7]"
"[234.3, -60.5, -5.3, 179.92, -1.93, 0.35]"
"[207.3, -41.4, -7.8, -179.93, -1.49, 0.26]"
"[199.0, -26.0, -4.3, -179.72, -1.91, 0.34]"
"[238.7, 7.1, -6.6, -179.48, -2.04, 0.6]"
"[227.2, -70.4, -8.7, 179.88, -2.54, -1.05]"
"[247.2, -46.5, -10.8, -179.95, -2.19, 0.52]"
"[240.3, 8.8, -5.6, -179.38, -2.38, 0.77]"
"[227.0, -75.4, -7.9, 179.84, -2.28, -1.4]"
"[212.8, -74.3, -5.4, 179.88, -0.61, -0.52]"
"[249.6, -55.8, -6.4, 179.96, -2.63, 0.52]"
"[250.5, -37.9, -7.8, -179.86, -2.54, 0.87]"
"[254.4, -4.8, -8.8, -179.29, -3.62, 0.94]"
"[217.3, -40.4, -7.6, -179.98, -0.97, -0.08]"
"[224.0, -9.6, -9.7, -179.82, -1.22, 1.57]"
"[209.2, -2.1, -10.6, -179.3, -2.81, 1.47]"
"[205.2, -69.1, -6.9, 179.85, -2.54, -0.26]"
"[244.8, -41.1, -5.6, 179.96, -0.7, 0.79]"
"[208.0, 5.4, -6.9, -179.72, -1.11, 0.87]"
"[179.9, -40.1, -6.6, -179.92, -1.14, -0.7]"
"[208.5, -66.3, -6.9, 179.91, 0.0, -0.35]"
"[224.9, -29.1, -7.2, -179.74, -2.27, 0.16]"
"[189.5, -16.2, -10.2, -179.82, -1.04, 0.26]"
"[250.3, -36.0, -9.6, -179.89, -1.66, -0.17]"
"[233.1, -25.7, -6.0, -179.77, -2.01, 0.43]"
"[235.3, -57.4, -3.7, 179.84, -0.62, -0.79]"
"[236.9, -57.0, -7.1, 179.92, -2.46, -0.7]"
"[236.1, -57.0, -9.1, 179.88, -1.49, -0.7]"
"[196.4, -43.3, -5.1, -179.93, -2.64, 0.69]"
"[227.6, -39.7, -5.7, 179.9, -0.71, -0.08]"
"[246.7, -31.7, -5.8, -179.94, -2.02, 0.87]"
"[251.9, -40.5, -5.3, -179.98, -1.85, -0.53]"
"[261.9, -32.8, -5.1, -179.85, -2.9, 0.43]"
"[233.5, -40.8, -7.0, -179.88, -2.63, -0.7]"
"[248.3, -31.5, -6.1, -179.96, -1.94, 1.13]"
"[227.5, -14.7, -5.2, -179.87, -1.58, 1.48]"
"[179.6, -29.0, -5.3, -179.8, -1.93, 0.25]"
"[222.6, -52.0, -6.3, 179.85, -0.44, -0.7]"
"[236.0, 4.4, -6.0, -179.69, -1.74, 1.04]"
"[252.2, -36.7, -5.4, -179.96, -1.94, -0.17]"
"[251.8, -18.8, -9.1, -179.81, -1.93, -0.35]"
"[253.4, -27.3, -11.0, -179.92, -1.67, -0.17]"
"[205.8, -54.9, -9.9, -179.53, -2.44, -0.35]"
"[231.7, -71.6, -5.5, 179.92, -2.02, 0.0]"
"[224.5, -20.6, -11.3, -179.8, -1.21, 1.75]"
"[226.6, 7.3, 26.3, 179.57, -0.12, 1.4]"
"[174.9, -23.9, -13.0, 179.78, -0.95, -0.79]"
"[211.5, -23.4, -8.6, 179.63, -1.77, -0.18]"
"[256.3, -40.8, -6.9, 179.64, -1.8, -0.44]"
"[221.1, -78.0, -5.2, 179.61, -2.17, -0.61]"
"[249.4, -20.7, -6.6, -179.49, -0.98, 1.05]"
"[225.4, -10.5, -8.3, -178.81, -2.6, -0.27]"
"[188.3, -9.5, -7.8, -179.17, -0.95, 0.52]"
"[201.3, -50.1, -7.2, -179.41, -0.74, -0.87]"
"[228.0, -42.1, -5.2, -179.38, -1.0, 0.35]"
"[244.1, -68.6, -5.0, -179.47, -2.02, -1.31]"
"[238.6, -63.4, -3.8, -179.64, -2.19, -0.08]"
"[253.1, -46.2, -5.9, -179.68, -1.03, 0.87]"
"[212.4, -39.6, -6.9, -179.65, -0.75, 0.26]"
"[228.1, -54.8, -6.1, -179.64, -1.65, -0.88]"
"[237.9, -76.4, -5.1, -179.82, -2.03, -0.61]"
"[224.4, -70.4, -11.1, -179.8, -1.59, 0.7]"
"[261.6, -32.9, -6.5, -179.88, -2.55, 0.34]"
"[208.3, 0.3, -8.9, -179.32, -2.73, 0.33]"
"[207.4, -25.9, -6.9, -179.91, -0.87, -0.96]"
"[209.8, 9.2, -11.3, -179.65, -1.27, 0.96]"
"[220.6, -17.1, -7.0, -179.63, -1.99, -0.62]"
"[207.3, -46.3, -10.1, -179.7, -2.26, -0.53]"
"[254.9, -41.9, -8.2, -179.72, -2.0, -0.44]"
"[200.8, -41.3, -9.3, -179.69, -1.11, -0.17]"
"[212.0, -15.3, -5.5, -179.62, -1.35, 1.13]"
"[204.3, -48.0, -8.4, -179.73, -0.94, -1.14]"
"[188.5, -44.1, -9.8, -179.67, -1.46, 0.26]"
"[236.8, 0.0, -5.7, -179.45, -1.4, 0.87]"
"[256.3, -41.5, -9.1, 179.77, -2.22, -0.44]"
"[236.1, -59.7, -6.9, -178.97, -2.7, -0.61]"
"[206.7, -50.1, -5.2, -179.02, -1.61, 0.26]"
"[186.0, -58.2, 26.1, -179.32, 0.55, -1.05]"
"[262.3, -23.3, -6.1, -179.39, -1.77, 0.69]"
"[254.2, -10.7, -9.1, -179.29, -2.28, 1.13]"
"[225.8, -62.7, -6.0, -179.96, -1.58, -0.96]"
"[213.2, 3.3, 32.1, -179.48, -1.68, 1.22]"
"[196.9, -53.8, -8.0, -179.96, -0.7, -0.35]"
"[243.0, -70.8, -5.2, 179.95, -1.84, -0.26]"
"[235.6, -53.6, -9.7, -179.88, -1.75, 1.58]"
"[204.8, -27.1, -9.5, -179.62, -1.63, 0.43]"
"[244.6, -55.1, -7.1, -179.78, -2.62, -0.88]"
"[249.5, -69.0, -9.1, -179.93, -2.28, -0.79]"
"[245.2, -5.5, -10.4, -179.38, -1.38, -0.09]"
"[207.1, -28.4, -6.0, -179.37, -1.93, -0.7]"
"[228.7, -70.2, -9.0, -179.77, -1.76, -0.43]"
"[198.0, -31.2, -8.7, -179.45, -1.78, 0.43]"
"[210.8, -21.2, -8.8, -179.4, -1.76, 0.96]"
"[235.2, -57.4, -6.0, -179.69, -2.1, 0.17]"
"[238.5, -1.7, -10.0, -179.23, -1.98, 0.95]"
"[246.2, -17.3, -5.8, -179.3, -2.19, -0.18]"
"[227.3, -43.4, -9.3, -179.49, -2.6, -0.35]"
"[247.4, -0.8, -5.4, -179.22, -1.97, 0.34]"
"[241.7, -12.6, -2.3, -179.25, -2.26, 0.16]"
"[199.3, -7.6, -11.6, -179.11, -2.04, 2.01]"
"[238.9, -4.4, -5.4, -179.2, -1.7, 0.0]"
"[225.8, -77.4, -4.9, -179.67, -0.89, -1.58]"
"[218.5, 3.0, -10.5, -179.13, -1.66, 0.78]"
"[197.0, -43.4, -4.9, -179.39, -2.93, -0.71]"
"[194.8, -39.0, -9.3, -179.67, -0.49, 0.26]"
"[207.0, -18.8, -8.8, -179.37, -1.57, -0.09]"
"[207.1, -18.2, -7.0, -179.5, -0.96, -0.52]"
"[251.1, -18.2, -5.9, -179.62, -0.55, -0.52]"
"[241.8, -37.1, -10.3, -179.5, -1.79, -0.88]"
"[210.2, -73.1, -6.8, 179.88, -3.33, -0.61]"
"[235.3, -31.6, -6.1, -179.79, -1.65, 0.7]"
"[246.3, -0.6, -5.0, -179.49, -1.95, 0.25]"
"[195.9, -54.5, -11.3, -179.62, -1.47, -1.58]"
"[190.2, -28.2, -7.5, -179.21, -2.89, 0.6]"
"[254.9, -53.8, 29.0, -179.74, 0.19, -1.31]"
"[172.5, -42.8, -10.5, -179.67, -0.49, 0.08]"
"[236.1, -61.7, -8.7, -179.7, -1.39, -0.96]"
"[215.0, -30.7, -2.2, -179.41, -2.66, 0.07]"
"[217.3, -6.8, -7.5, -179.68, -0.46, -0.35]"
"[190.8, -4.0, -12.7, -179.28, -1.06, 0.08]"
"[244.8, -39.9, -6.3, -179.35, -1.96, -0.35]"
"[220.4, -74.9, -5.4, -179.62, -2.03, -1.14]"
"[195.6, -52.9, -4.7, -179.49, -1.91, 1.05]"
"[249.9, -17.6, -5.4, -179.57, -0.37, 0.61]"
"[170.1, -40.1, -10.4, -179.79, 0.38, -0.96]"
"[242.4, -57.9, -5.8, -179.72, -0.52, -0.08]"
"[228.8, -41.6, -4.6, -179.62, -1.55, 1.4]"
"[208.2, -29.5, -7.4, -179.57, -1.09, 1.05]"
"[236.1, -24.9, -5.6, -179.43, -1.86, 0.43]"
"[207.6, -40.5, -10.1, -179.48, -1.79, -1.49]"
"[209.7, -17.0, -10.9, -179.44, -1.76, 0.78]"
"[204.4, -52.6, -7.9, -179.69, -1.91, -0.88]"
"[180.5, -35.5, -9.3, -179.67, -1.01, 0.52]"
"[225.5, -60.3, -8.3, 179.52, -2.73, -0.17]"
"[255.3, -10.0, -4.7, -178.7, -1.98, 0.6]"
"[225.1, 5.6, -9.5, -178.38, -1.98, 0.6]"
"[234.8, -11.9, -10.5, -179.19, -1.88, -0.71]"
"[220.0, -9.0, -10.3, -179.01, -3.01, 0.94]"
"[230.4, -24.9, -6.8, -179.39, -2.48, 0.0]"
"[190.3, -43.6, -9.3, -179.69, -1.11, -0.35]"
"[222.4, -3.0, -9.5, -179.19, -2.23, 0.07]"
"[242.9, -68.1, -8.7, -179.82, -2.72, -1.05]"
"[238.7, -26.7, -6.1, -179.44, -2.4, -0.09]"
"[257.2, -30.9, -7.0, -179.58, -2.42, -0.27]"
"[226.0, -60.8, -6.8, -179.77, -2.36, -0.52]"
"[248.0, -16.7, -5.4, -179.56, -1.88, 0.43]"
"[239.3, -27.8, -9.9, -179.66, -1.99, -1.06]"
"[206.2, -48.5, -7.1, -179.93, -3.7, -0.88]"
"[216.6, 4.3, -8.4, -179.44, -1.94, -0.18]"
"[224.6, -10.5, -6.4, -179.71, -1.38, -1.49]"
"[220.4, -28.4, -8.5, -179.51, -2.68, -1.06]"
"[222.9, -21.2, -7.4, -179.47, -2.4, 0.69]"
"[190.4, -16.3, -10.3, -179.57, -0.97, 0.17]"
"[252.7, -50.9, -9.7, -179.69, -2.0, -0.88]"
"[214.2, -75.8, -6.1, -179.92, -2.37, -0.78]"
"[226.3, -9.5, -7.6, -179.41, -1.85, 1.57]"
"[193.2, -31.2, -6.8, -179.65, -0.82, -1.58]"
"[191.7, -23.4, -10.9, -179.41, -1.94, 0.43]"
"[216.5, -52.2, -7.5, -179.61, -2.35, 0.0]"
"[239.1, -21.9, -5.7, -179.32, -2.29, 0.0]"
"[203.3, -8.6, -8.0, -179.65, -0.27, 0.61]"
"[218.4, 3.2, -6.3, -179.29, -1.44, 1.04]"
"[246.6, -66.6, -6.7, -179.71, -2.98, -1.14]"
