223.6,-12.8,-7.3
253.3,-6.1,-8.3
233.5,-34.9,-6.3
238.8,-34.1,-8.3
193.2,-39.8,-9
246.3,-33.1,-6.5
228.9,-31.1,-9.4
191.6,-60.3,-9.5
231.3,-24.8,-6.6
257.9,-20.4,-4.6
239.1,3.6,-8.8
239.2,3.7,-6.1
219,13.8,-9.6
234.9,2.5,-6.2
226.2,-19.9,-5
225.4,-19.3,-2.5
242.9,-56.3,-7.3
234.8,-69.2,-7.1
192.6,-27.1,-9.6
229.3,-13.6,-7
212.8,1.4,-10.6
184.8,-48.1,-9.9
207.9,7.4,-7.9
187.4,-7.3,-9.8
218.6,-6.8,-7.6
234.9,-35.5,-5.3
194.9,-17,-10.8
228,-46.6,-6.4
247.5,-19.4,-5.3
217.1,-54,-6.4
204.6,-72.8,-9
237.2,-62.2,-6.6
212.1,-11.8,-8.3
245.4,-7.5,-5.2
216,-74.6,-10
229.8,4.7,-7.3
204.6,-19.1,-5.3
191.2,-50.1,-10.2
237.8,-15.3,-5.9
185.2,-40.8,-10.5
232.4,-49.3,-6.2
212.7,-43.8,-8.8
236.3,-23.8,-9.6
228.5,-56.5,-6.1
237.5,-37.2,-6.2
236.3,4.5,-5.4
235.7,-26.3,-9.2
228,7.8,-7.5
258.2,-53.5,-8
256.1,-43.5,-4.8
240.1,-60.8,-5.8
241.8,-53.3,-8.8
185.3,-55.1,-9
205.4,-26.2,-7.7
233.8,7,-9.6
211.7,-3.2,-8.8
224.4,5.6,-6.3
248.7,-52,-9.2
230.7,-74.8,-6.6
262.7,-42.2,-8.6
227.2,7,-7.5
192.1,-48.4,-9.8
201.7,3.6,-11.5
250.5,-27.5,29.4
241.3,-38.3,-9.9
183.8,-43.9,-12.7
201.1,-26.8,-12
233.8,-40.1,-9.8
239.4,-39.6,-5.4
212.2,2.5,-7.7
255.6,-22.5,-7.7
263,-36.4,-5.5
223.8,-65.6,-0.1
234.8,-40.7,-4.7
206.2,-29.3,-11.2
214.3,-43.1,-8.4
246.8,-39.6,-5.7
253.1,-26.7,-1
209.2,-18.1,-12
195.2,-65.1,-7.9
241.5,-33.5,-5.8
202.5,-3.7,-8.7
211.9,-28.7,-6.6
181.8,-55.5,-9
199.9,-7.2,-6.8
214,1.6,-10.6
216.2,-16.2,-6.5
245.5,-57.3,-9.4
211.7,-58.2,-7.8
198,-34.4,-8.6
224.3,12.5,-8.3
199.9,-5.3,-12.3
245.1,-28.4,-5.6
217.9,-50.1,-9.4
262,-29.1,-8.2
202.4,-40.4,-8.5
235.6,3.6,-6.2
232.5,-6.8,-10.8
236,-54.4,-5.5
256.3,-41.2,-5.9
182.9,-28.8,-10.1
180.9,-24.9,-10
183.3,-24.4,-11.7
216,-56.8,-5.5
217,-68.8,-6.1
234.3,-60.5,-5.3
207.3,-41.4,-7.8
199,-26,-4.3
238.7,7.1,-6.6
227.2,-70.4,-8.7
247.2,-46.5,-10.8
240.3,8.8,-5.6
227,-75.4,-7.9
212.8,-74.3,-5.4
249.6,-55.8,-6.4
250.5,-37.9,-7.8
254.4,-4.8,-8.8
217.3,-40.4,-7.6
224,-9.6,-9.7
209.2,-2.1,-10.6
205.2,-69.1,-6.9
244.8,-41.1,-5.6
208,5.4,-6.9
179.9,-40.1,-6.6
208.5,-66.3,-6.9
224.9,-29.1,-7.2
189.5,-16.2,-10.2
250.3,-36,-9.6
233.1,-25.7,-6
235.3,-57.4,-3.7
236.9,-57,-7.1
236.1,-57,-9.1
196.4,-43.3,-5.1
227.6,-39.7,-5.7
246.7,-31.7,-5.8
251.9,-40.5,-5.3
